code,desc
E32.0,"Persistent hyperplasia of thymus"
E32.0,"Persistent hyperplasia of thymus (Hypertrophy of thymus)"
E32.1,"Abscess of thymus"
E32.8,"Other diseases of thymus"
E32.9,"Disease of thymus, unspecified"
E34,"Other endocrine disorders"
E34.0,"Carcinoid syndrome"
E34.1,"Other hypersecretion of intestinal hormones"
E34.2,"Ectopic hormone secretion, not elsewhere classified"
E34.3,"Short stature due to endocrine disorder"
E34.3,"Short stature due to endocrine disorder (Constitutional short stature)"
E34.3,"Short stature due to endocrine disorder (Laron-type short stature)"
E34.4,"Constitutional tall stature"
E34.4,"Constitutional tall stature (Constitutional gigantism)"
E34.5,"Androgen insensitivity syndrome"
E34.50,"Androgen insensitivity syndrome, unspecified"
E34.50,"Androgen insensitivity syndrome, unspecified (Androgen insensitivity NOS)"
E34.51,"Complete androgen insensitivity syndrome"
E34.51,"Complete androgen insensitivity syndrome (Complete androgen insensitivity)"
E34.51,"Complete androgen insensitivity syndrome (de Quervain syndrome)"
E34.51,"Complete androgen insensitivity syndrome (Goldberg-Maxwell syndrome)"
E34.52,"Partial androgen insensitivity syndrome"
E34.52,"Partial androgen insensitivity syndrome (Partial androgen insensitivity)"
E34.52,"Partial androgen insensitivity syndrome (Reifenstein syndrome)"
E34.8,"Other specified endocrine disorders"
E34.8,"Other specified endocrine disorders (Pineal gland dysfunction)"
E34.8,"Other specified endocrine disorders (Progeria)"
E34.9,"Endocrine disorder, unspecified"
E34.9,"Endocrine disorder, unspecified (Endocrine disturbance NOS)"
E34.9,"Endocrine disorder, unspecified (Hormone disturbance NOS)"
E35,"Disorders of endocrine glands in diseases classified elsewhere"
E40,Kwashiorkor
E40,"Kwashiorkor (Severe malnutrition with nutritional edema with dyspigmentation of skin and hair)"
E41,"Nutritional marasmus"
E41,"Nutritional marasmus (Severe malnutrition with marasmus)"
E42,"Marasmic kwashiorkor"
E42,"Marasmic kwashiorkor (Intermediate form severe protein-calorie malnutrition)"
E42,"Marasmic kwashiorkor (Severe protein-calorie malnutrition with signs of both kwashiorkor and marasmus)"
E43,"Unspecified severe protein-calorie malnutrition"
E43,"Unspecified severe protein-calorie malnutrition (Starvation edema)"
E44,"Protein-calorie malnutrition of moderate and mild degree"
E44.0,"Moderate protein-calorie malnutrition"
E44.1,"Mild protein-calorie malnutrition"
E45,"Retarded development following protein-calorie malnutrition"
E45,"Retarded development following protein-calorie malnutrition (Nutritional short stature)"
E45,"Retarded development following protein-calorie malnutrition (Nutritional stunting)"
E45,"Retarded development following protein-calorie malnutrition (Physical retardation due to malnutrition)"
E46,"Unspecified protein-calorie malnutrition"
E46,"Unspecified protein-calorie malnutrition (Malnutrition NOS)"
E46,"Unspecified protein-calorie malnutrition (Protein-calorie imbalance NOS)"
E50,"Vitamin A deficiency"
E50.0,"Vitamin A deficiency with conjunctival xerosis"
E50.1,"Vitamin A deficiency with Bitot's spot and conjunctival xerosis"
E50.1,"Vitamin A deficiency with Bitot's spot and conjunctival xerosis (Bitot's spot in the young child)"
E50.2,"Vitamin A deficiency with corneal xerosis"
E50.3,"Vitamin A deficiency with corneal ulceration and xerosis"
E50.4,"Vitamin A deficiency with keratomalacia"
E50.5,"Vitamin A deficiency with night blindness"
E50.6,"Vitamin A deficiency with xerophthalmic scars of cornea"
E50.7,"Other ocular manifestations of vitamin A deficiency"
E50.7,"Other ocular manifestations of vitamin A deficiency (Xerophthalmia NOS)"
E50.8,"Other manifestations of vitamin A deficiency"
E50.8,"Other manifestations of vitamin A deficiency (Follicular keratosis)"
E50.8,"Other manifestations of vitamin A deficiency (Xeroderma)"
E50.9,"Vitamin A deficiency, unspecified"
E50.9,"Vitamin A deficiency, unspecified (Hypovitaminosis A NOS)"
E51,"Thiamine deficiency"
E51.1,Beriberi
E51.11,"Dry beriberi"
E51.11,"Dry beriberi (Beriberi NOS)"
E51.11,"Dry beriberi (Beriberi with polyneuropathy)"
E51.12,"Wet beriberi"
E51.12,"Wet beriberi (Beriberi with cardiovascular manifestations)"
E51.12,"Wet beriberi (Cardiovascular beriberi)"
E51.12,"Wet beriberi (Shoshin disease)"
E51.2,"Wernicke's encephalopathy"
E51.8,"Other manifestations of thiamine deficiency"
E51.9,"Thiamine deficiency, unspecified"
E52,"Niacin deficiency [pellagra]"
E52,"Niacin deficiency [pellagra] (Niacin (-tryptophan) deficiency)"
E52,"Niacin deficiency [pellagra] (Nicotinamide deficiency)"
E52,"Niacin deficiency [pellagra] (Pellagra (alcoholic))"
E53,"Deficiency of other B group vitamins"
E53.0,"Riboflavin deficiency"
E53.0,"Riboflavin deficiency (Ariboflavinosis)"
E53.0,"Riboflavin deficiency (Vitamin B2 deficiency)"
E53.1,"Pyridoxine deficiency"
E53.1,"Pyridoxine deficiency (Vitamin B6 deficiency)"
E53.8,"Deficiency of other specified B group vitamins"
E53.8,"Deficiency of other specified B group vitamins (Biotin deficiency)"
E53.8,"Deficiency of other specified B group vitamins (Cyanocobalamin deficiency)"
E53.8,"Deficiency of other specified B group vitamins (Folate deficiency)"
E53.8,"Deficiency of other specified B group vitamins (Folic acid deficiency)"
E53.8,"Deficiency of other specified B group vitamins (Pantothenic acid deficiency)"
E53.8,"Deficiency of other specified B group vitamins (Vitamin B12 deficiency)"
E53.9,"Vitamin B deficiency, unspecified"
E54,"Ascorbic acid deficiency"
E54,"Ascorbic acid deficiency (Deficiency of vitamin C)"
E54,"Ascorbic acid deficiency (Scurvy)"
E55,"Vitamin D deficiency"
E55.0,"Rickets, active"
E55.0,"Rickets, active (Infantile osteomalacia)"
E55.0,"Rickets, active (Juvenile osteomalacia)"
E55.9,"Vitamin D deficiency, unspecified"
E55.9,"Vitamin D deficiency, unspecified (Avitaminosis D)"
E56,"Other vitamin deficiencies"
E56.0,"Deficiency of vitamin E"
E56.1,"Deficiency of vitamin K"
E56.8,"Deficiency of other vitamins"
E56.9,"Vitamin deficiency, unspecified"
E58,"Dietary calcium deficiency"
E59,"Dietary selenium deficiency"
E59,"Dietary selenium deficiency (Keshan disease)"
E60,"Dietary zinc deficiency"
E61,"Deficiency of other nutrient elements"
E61.0,"Copper deficiency"
E61.1,"Iron deficiency"
E61.2,"Magnesium deficiency"
E61.3,"Manganese deficiency"
E61.4,"Chromium deficiency"
E61.5,"Molybdenum deficiency"
E61.6,"Vanadium deficiency"
E61.7,"Deficiency of multiple nutrient elements"
E61.8,"Deficiency of other specified nutrient elements"
E61.9,"Deficiency of nutrient element, unspecified"
E63,"Other nutritional deficiencies"
E63.0,"Essential fatty acid [EFA] deficiency"
E63.1,"Imbalance of constituents of food intake"
E63.8,"Other specified nutritional deficiencies"
E63.9,"Nutritional deficiency, unspecified"
E64,"Sequelae of malnutrition and other nutritional deficiencies"
E64.0,"Sequelae of protein-calorie malnutrition"
E64.1,"Sequelae of vitamin A deficiency"
E64.2,"Sequelae of vitamin C deficiency"
E64.3,"Sequelae of rickets"
E64.8,"Sequelae of other nutritional deficiencies"
E64.9,"Sequelae of unspecified nutritional deficiency"
E65,"Localized adiposity"
E65,"Localized adiposity (Fat pad)"
E66,"Overweight and obesity"
E66.0,"Obesity due to excess calories"
E66.01,"Morbid (severe) obesity due to excess calories"
E66.09,"Other obesity due to excess calories"
E66.1,"Drug-induced obesity"
E66.2,"Morbid (severe) obesity with alveolar hypoventilation"
E66.2,"Morbid (severe) obesity with alveolar hypoventilation (Obesity hypoventilation syndrome (OHS))"
E66.2,"Morbid (severe) obesity with alveolar hypoventilation (Pickwickian syndrome)"
E66.3,Overweight
E66.8,"Other obesity"
E66.9,"Obesity, unspecified"
E66.9,"Obesity, unspecified (Obesity NOS)"
E67,"Other hyperalimentation"
E67.0,"Hypervitaminosis A"
E67.1,Hypercarotenemia
E67.2,"Megavitamin-B6 syndrome"
E67.3,"Hypervitaminosis D"
E67.8,"Other specified hyperalimentation"
E68,"Sequelae of hyperalimentation"
E70,"Disorders of aromatic amino-acid metabolism"
E70.0,"Classical phenylketonuria"
E70.1,"Other hyperphenylalaninemias"
E70.2,"Disorders of tyrosine metabolism"
E70.20,"Disorder of tyrosine metabolism, unspecified"
E70.21,Tyrosinemia
E70.21,"Tyrosinemia (Hypertyrosinemia)"
E70.29,"Other disorders of tyrosine metabolism"
E70.29,"Other disorders of tyrosine metabolism (Alkaptonuria)"
E70.29,"Other disorders of tyrosine metabolism (Ochronosis)"
E70.3,Albinism
E70.30,"Albinism, unspecified"
E70.31,"Ocular albinism"
E70.310,"X-linked ocular albinism"
E70.311,"Autosomal recessive ocular albinism"
E70.318,"Other ocular albinism"
E70.319,"Ocular albinism, unspecified"
E70.32,"Oculocutaneous albinism"
E70.320,"Tyrosinase negative oculocutaneous albinism"
E70.320,"Tyrosinase negative oculocutaneous albinism (Albinism I)"
E70.320,"Tyrosinase negative oculocutaneous albinism (Oculocutaneous albinism ty-neg)"
E70.321,"Tyrosinase positive oculocutaneous albinism"
E70.321,"Tyrosinase positive oculocutaneous albinism (Albinism II)"
E70.321,"Tyrosinase positive oculocutaneous albinism (Oculocutaneous albinism ty-pos)"
E70.328,"Other oculocutaneous albinism"
E70.328,"Other oculocutaneous albinism (Cross syndrome)"
E70.329,"Oculocutaneous albinism, unspecified"
E70.33,"Albinism with hematologic abnormality"
E70.330,"Chediak-Higashi syndrome"
E70.331,"Hermansky-Pudlak syndrome"
E70.338,"Other albinism with hematologic abnormality"
E70.339,"Albinism with hematologic abnormality, unspecified"
E70.39,"Other specified albinism"
E70.39,"Other specified albinism (Piebaldism)"
E70.4,"Disorders of histidine metabolism"
E70.40,"Disorders of histidine metabolism, unspecified"
E70.41,Histidinemia
E70.49,"Other disorders of histidine metabolism"
E70.5,"Disorders of tryptophan metabolism"
E70.8,"Other disorders of aromatic amino-acid metabolism"
E70.81,"Aromatic L-amino acid decarboxylase deficiency"
E70.81,"Aromatic L-amino acid decarboxylase deficiency (AADC deficiency)"
E70.89,"Other disorders of aromatic amino-acid metabolism"
E70.9,"Disorder of aromatic amino-acid metabolism, unspecified"
E71,"Disorders of branched-chain amino-acid metabolism and fatty-acid metabolism"
E71.0,"Maple-syrup-urine disease"
E71.1,"Other disorders of branched-chain amino-acid metabolism"
E71.11,"Branched-chain organic acidurias"
E71.110,"Isovaleric acidemia"
E71.111,"3-methylglutaconic aciduria"
E71.118,"Other branched-chain organic acidurias"
E71.12,"Disorders of propionate metabolism"
E71.120,"Methylmalonic acidemia"
E71.121,"Propionic acidemia"
E71.128,"Other disorders of propionate metabolism"
E71.19,"Other disorders of branched-chain amino-acid metabolism"
E71.19,"Other disorders of branched-chain amino-acid metabolism (Hyperleucine-isoleucinemia)"
E71.19,"Other disorders of branched-chain amino-acid metabolism (Hypervalinemia)"
E71.2,"Disorder of branched-chain amino-acid metabolism, unspecified"
E71.3,"Disorders of fatty-acid metabolism"
E71.30,"Disorder of fatty-acid metabolism, unspecified"
E71.31,"Disorders of fatty-acid oxidation"
E71.310,"Long chain/very long chain acyl CoA dehydrogenase deficiency"
E71.310,"Long chain/very long chain acyl CoA dehydrogenase deficiency (LCAD)"
E71.310,"Long chain/very long chain acyl CoA dehydrogenase deficiency (VLCAD)"
E71.311,"Medium chain acyl CoA dehydrogenase deficiency"
E71.311,"Medium chain acyl CoA dehydrogenase deficiency (MCAD)"
E71.312,"Short chain acyl CoA dehydrogenase deficiency"
E71.312,"Short chain acyl CoA dehydrogenase deficiency (SCAD)"
E71.313,"Glutaric aciduria type II"
E71.313,"Glutaric aciduria type II (Glutaric aciduria type II A)"
E71.313,"Glutaric aciduria type II (Glutaric aciduria type II B)"
E71.313,"Glutaric aciduria type II (Glutaric aciduria type II C)"
E71.314,"Muscle carnitine palmitoyltransferase deficiency"
E71.318,"Other disorders of fatty-acid oxidation"
E71.32,"Disorders of ketone metabolism"
E71.39,"Other disorders of fatty-acid metabolism"
E71.4,"Disorders of carnitine metabolism"
E71.40,"Disorder of carnitine metabolism, unspecified"
E71.41,"Primary carnitine deficiency"
E71.42,"Carnitine deficiency due to inborn errors of metabolism"
E71.43,"Iatrogenic carnitine deficiency"
E71.43,"Iatrogenic carnitine deficiency (Carnitine deficiency due to hemodialysis)"
E71.43,"Iatrogenic carnitine deficiency (Carnitine deficiency due to Valproic acid therapy)"
E71.44,"Other secondary carnitine deficiency"
E71.440,"Ruvalcaba-Myhre-Smith syndrome"
E71.448,"Other secondary carnitine deficiency"
E71.5,"Peroxisomal disorders"
E71.50,"Peroxisomal disorder, unspecified"
E71.51,"Disorders of peroxisome biogenesis"
E71.51,"Disorders of peroxisome biogenesis (Group 1 peroxisomal disorders)"
E71.510,"Zellweger syndrome"
E71.511,"Neonatal adrenoleukodystrophy"
E71.518,"Other disorders of peroxisome biogenesis"
E71.52,"X-linked adrenoleukodystrophy"
E71.520,"Childhood cerebral X-linked adrenoleukodystrophy"
E71.521,"Adolescent X-linked adrenoleukodystrophy"
E71.522,Adrenomyeloneuropathy
E71.528,"Other X-linked adrenoleukodystrophy"
E71.528,"Other X-linked adrenoleukodystrophy (Addison only phenotype adrenoleukodystrophy)"
E71.528,"Other X-linked adrenoleukodystrophy (Addison-Schilder adrenoleukodystrophy)"
E71.529,"X-linked adrenoleukodystrophy, unspecified type"
E71.53,"Other group 2 peroxisomal disorders"
E71.54,"Other peroxisomal disorders"
E71.540,"Rhizomelic chondrodysplasia punctata"
E71.541,"Zellweger-like syndrome"
E71.542,"Other group 3 peroxisomal disorders"
E71.548,"Other peroxisomal disorders"
E72,"Other disorders of amino-acid metabolism"
E72.0,"Disorders of amino-acid transport"
E72.00,"Disorders of amino-acid transport, unspecified"
E72.01,Cystinuria
E72.02,"Hartnup's disease"
E72.03,"Lowe's syndrome"
E72.04,Cystinosis
E72.04,"Cystinosis (Fanconi (-de Toni) (-Debré) syndrome with cystinosis)"
E72.09,"Other disorders of amino-acid transport"
E72.09,"Other disorders of amino-acid transport (Fanconi (-de Toni) (-Debré) syndrome, unspecified)"
E72.1,"Disorders of sulfur-bearing amino-acid metabolism"
E72.10,"Disorders of sulfur-bearing amino-acid metabolism, unspecified"
E72.11,Homocystinuria
E72.11,"Homocystinuria (Cystathionine synthase deficiency)"
E72.12,"Methylenetetrahydrofolate reductase deficiency"
E72.19,"Other disorders of sulfur-bearing amino-acid metabolism"
E72.19,"Other disorders of sulfur-bearing amino-acid metabolism (Cystathioninuria)"
E72.19,"Other disorders of sulfur-bearing amino-acid metabolism (Methioninemia)"
E72.19,"Other disorders of sulfur-bearing amino-acid metabolism (Sulfite oxidase deficiency)"
E72.2,"Disorders of urea cycle metabolism"
E72.20,"Disorder of urea cycle metabolism, unspecified"
E72.20,"Disorder of urea cycle metabolism, unspecified (Hyperammonemia)"
E72.21,Argininemia
E72.22,"Arginosuccinic aciduria"
E72.23,Citrullinemia
E72.29,"Other disorders of urea cycle metabolism"
E72.3,"Disorders of lysine and hydroxylysine metabolism"
E72.3,"Disorders of lysine and hydroxylysine metabolism (Glutaric aciduria NOS)"
E72.3,"Disorders of lysine and hydroxylysine metabolism (Glutaric aciduria (type I))"
E72.3,"Disorders of lysine and hydroxylysine metabolism (Hydroxylysinemia)"
E72.3,"Disorders of lysine and hydroxylysine metabolism (Hyperlysinemia)"
E72.4,"Disorders of ornithine metabolism"
E72.4,"Disorders of ornithine metabolism (Hyperammonemia-Hyperornithinemia-Homocitrullinemia syndrome)"
E72.4,"Disorders of ornithine metabolism (Ornithinemia (types I, II))"
E72.4,"Disorders of ornithine metabolism (Ornithine transcarbamylase deficiency)"
E72.5,"Disorders of glycine metabolism"
E72.50,"Disorder of glycine metabolism, unspecified"
E72.51,"Non-ketotic hyperglycinemia"
E72.52,Trimethylaminuria
E72.53,"Primary hyperoxaluria"
E72.53,"Primary hyperoxaluria (Oxalosis)"
E72.53,"Primary hyperoxaluria (Oxaluria)"
E72.59,"Other disorders of glycine metabolism"
E72.59,"Other disorders of glycine metabolism (D-glycericacidemia)"
E72.59,"Other disorders of glycine metabolism (Hyperhydroxyprolinemia)"
E72.59,"Other disorders of glycine metabolism (Hyperprolinemia (types I, II))"
E72.59,"Other disorders of glycine metabolism (Sarcosinemia)"
E72.8,"Other specified disorders of amino-acid metabolism"
E72.81,"Disorders of gamma aminobutyric acid metabolism"
E72.81,"Disorders of gamma aminobutyric acid metabolism (4-hydroxybutyric aciduria)"
E72.81,"Disorders of gamma aminobutyric acid metabolism (Disorders of GABA metabolism)"
E72.81,"Disorders of gamma aminobutyric acid metabolism (GABA metabolic defect)"
E72.81,"Disorders of gamma aminobutyric acid metabolism (GABA transaminase deficiency)"
E72.81,"Disorders of gamma aminobutyric acid metabolism (GABA-T deficiency)"
E72.81,"Disorders of gamma aminobutyric acid metabolism (Gamma-hydroxybutyric aciduria)"
E72.81,"Disorders of gamma aminobutyric acid metabolism (SSADHD)"
E72.81,"Disorders of gamma aminobutyric acid metabolism (Succinic semialdehyde dehydrogenase deficiency)"
E72.89,"Other specified disorders of amino-acid metabolism"
E72.89,"Other specified disorders of amino-acid metabolism (Disorders of beta-amino-acid metabolism)"
E72.89,"Other specified disorders of amino-acid metabolism (Disorders of gamma-glutamyl cycle)"
E72.9,"Disorder of amino-acid metabolism, unspecified"
E73,"Lactose intolerance"
E73.0,"Congenital lactase deficiency"
E73.1,"Secondary lactase deficiency"
E73.8,"Other lactose intolerance"
E73.9,"Lactose intolerance, unspecified"
E74,"Other disorders of carbohydrate metabolism"
E74.0,"Glycogen storage disease"
E74.00,"Glycogen storage disease, unspecified"
E74.01,"von Gierke disease"
E74.01,"von Gierke disease (Type I glycogen storage disease)"
E74.02,"Pompe disease"
E74.02,"Pompe disease (Cardiac glycogenosis)"
E74.02,"Pompe disease (Type II glycogen storage disease)"
E74.03,"Cori disease"
E74.03,"Cori disease (Forbes disease)"
E74.03,"Cori disease (Type III glycogen storage disease)"
E74.04,"McArdle disease"
E74.04,"McArdle disease (Type V glycogen storage disease)"
E74.09,"Other glycogen storage disease"
E74.09,"Other glycogen storage disease (Andersen disease)"
E74.09,"Other glycogen storage disease (Hers disease)"
E74.09,"Other glycogen storage disease (Tauri disease)"
E74.09,"Other glycogen storage disease (Glycogen storage disease, types 0, IV, VI-XI)"
E74.09,"Other glycogen storage disease (Liver phosphorylase deficiency)"
E74.09,"Other glycogen storage disease (Muscle phosphofructokinase deficiency)"
E74.1,"Disorders of fructose metabolism"
E74.10,"Disorder of fructose metabolism, unspecified"
E74.11,"Essential fructosuria"
E74.11,"Essential fructosuria (Fructokinase deficiency)"
E74.12,"Hereditary fructose intolerance"
E74.12,"Hereditary fructose intolerance (Fructosemia)"
E74.19,"Other disorders of fructose metabolism"
E74.19,"Other disorders of fructose metabolism (Fructose-1, 6-diphosphatase deficiency)"
E74.2,"Disorders of galactose metabolism"
E74.20,"Disorders of galactose metabolism, unspecified"
E74.21,Galactosemia
E74.29,"Other disorders of galactose metabolism"
E74.29,"Other disorders of galactose metabolism (Galactokinase deficiency)"
E74.3,"Other disorders of intestinal carbohydrate absorption"
E74.31,"Sucrase-isomaltase deficiency"
E74.39,"Other disorders of intestinal carbohydrate absorption"
E74.39,"Other disorders of intestinal carbohydrate absorption (Disorder of intestinal carbohydrate absorption NOS)"
E74.39,"Other disorders of intestinal carbohydrate absorption (Glucose-galactose malabsorption)"
E74.39,"Other disorders of intestinal carbohydrate absorption (Sucrase deficiency)"
E74.4,"Disorders of pyruvate metabolism and gluconeogenesis"
E74.4,"Disorders of pyruvate metabolism and gluconeogenesis (Deficiency of phosphoenolpyruvate carboxykinase)"
E74.4,"Disorders of pyruvate metabolism and gluconeogenesis (Deficiency of pyruvate carboxylase)"
E74.4,"Disorders of pyruvate metabolism and gluconeogenesis (Deficiency of pyruvate dehydrogenase)"
E74.8,"Other specified disorders of carbohydrate metabolism"
E74.81,"Disorders of glucose transport, not elsewhere classified"
E74.810,"Glucose transporter protein type 1 deficiency"
E74.810,"Glucose transporter protein type 1 deficiency (De Vivo syndrome)"
E74.810,"Glucose transporter protein type 1 deficiency (Glucose transport defect, blood-brain barrier)"
E74.810,"Glucose transporter protein type 1 deficiency (Glut1 deficiency)"
E74.810,"Glucose transporter protein type 1 deficiency (GLUT1 deficiency syndrome 1, infantile onset)"
E74.810,"Glucose transporter protein type 1 deficiency (GLUT1 deficiency syndrome 2, childhood onset)"
E74.818,"Other disorders of glucose transport"
E74.818,"Other disorders of glucose transport ((Familial) renal glycosuria)"
E74.819,"Disorders of glucose transport, unspecified"
E74.89,"Other specified disorders of carbohydrate metabolism"
E74.89,"Other specified disorders of carbohydrate metabolism (Essential pentosuria)"
E74.9,"Disorder of carbohydrate metabolism, unspecified"
E75,"Disorders of sphingolipid metabolism and other lipid storage disorders"
E75.0,"GM2 gangliosidosis"
E75.00,"GM2 gangliosidosis, unspecified"
E75.01,"Sandhoff disease"
E75.02,"Tay-Sachs disease"
E75.09,"Other GM2 gangliosidosis"
E75.09,"Other GM2 gangliosidosis (Adult GM2 gangliosidosis)"
E75.09,"Other GM2 gangliosidosis (Juvenile GM2 gangliosidosis)"
E75.1,"Other and unspecified gangliosidosis"
E75.10,"Unspecified gangliosidosis"
E75.10,"Unspecified gangliosidosis (Gangliosidosis NOS)"
E75.11,"Mucolipidosis IV"
E75.19,"Other gangliosidosis"
E75.19,"Other gangliosidosis (GM1 gangliosidosis)"
E75.19,"Other gangliosidosis (GM3 gangliosidosis)"
E75.2,"Other sphingolipidosis"
E75.21,"Fabry (-Anderson) disease"
E75.22,"Gaucher disease"
E75.23,"Krabbe disease"
E75.24,"Niemann-Pick disease"
E75.240,"Niemann-Pick disease type A"
E75.241,"Niemann-Pick disease type B"
E75.242,"Niemann-Pick disease type C"
E75.243,"Niemann-Pick disease type D"
E75.248,"Other Niemann-Pick disease"
E75.249,"Niemann-Pick disease, unspecified"
E75.25,"Metachromatic leukodystrophy"
E75.26,"Sulfatase deficiency"
E75.26,"Sulfatase deficiency (Multiple sulfatase deficiency (MSD))"
E75.29,"Other sphingolipidosis"
E75.29,"Other sphingolipidosis (Farber's syndrome)"
E75.29,"Other sphingolipidosis (Sulfatide lipidosis)"
E75.3,"Sphingolipidosis, unspecified"
E75.4,"Neuronal ceroid lipofuscinosis"
E75.4,"Neuronal ceroid lipofuscinosis (Batten disease)"
E75.4,"Neuronal ceroid lipofuscinosis (Bielschowsky-Jansky disease)"
E75.4,"Neuronal ceroid lipofuscinosis (Kufs disease)"
E75.4,"Neuronal ceroid lipofuscinosis (Spielmeyer-Vogt disease)"
E75.5,"Other lipid storage disorders"
E75.5,"Other lipid storage disorders (Cerebrotendinous cholesterosis [van Bogaert-Scherer-Epstein])"
E75.5,"Other lipid storage disorders (Wolman's disease)"
E75.6,"Lipid storage disorder, unspecified"
E76,"Disorders of glycosaminoglycan metabolism"
E76.0,"Mucopolysaccharidosis, type I"
E76.01,"Hurler's syndrome"
E76.02,"Hurler-Scheie syndrome"
E76.03,"Scheie's syndrome"
E76.1,"Mucopolysaccharidosis, type II"
E76.1,"Mucopolysaccharidosis, type II (Hunter's syndrome)"
E76.2,"Other mucopolysaccharidoses"
E76.21,"Morquio mucopolysaccharidoses"
E76.210,"Morquio A mucopolysaccharidoses"
E76.210,"Morquio A mucopolysaccharidoses (Classic Morquio syndrome)"
E76.210,"Morquio A mucopolysaccharidoses (Morquio syndrome A)"
E76.210,"Morquio A mucopolysaccharidoses (Mucopolysaccharidosis, type IVA)"
E76.211,"Morquio B mucopolysaccharidoses"
E76.211,"Morquio B mucopolysaccharidoses (Morquio-like mucopolysaccharidoses)"
E76.211,"Morquio B mucopolysaccharidoses (Morquio-like syndrome)"
E76.211,"Morquio B mucopolysaccharidoses (Morquio syndrome B)"
E76.211,"Morquio B mucopolysaccharidoses (Mucopolysaccharidosis, type IVB)"
E76.219,"Morquio mucopolysaccharidoses, unspecified"
E76.219,"Morquio mucopolysaccharidoses, unspecified (Morquio syndrome)"
E76.219,"Morquio mucopolysaccharidoses, unspecified (Mucopolysaccharidosis, type IV)"
E76.22,"Sanfilippo mucopolysaccharidoses"
E76.22,"Sanfilippo mucopolysaccharidoses (Mucopolysaccharidosis, type III (A) (B) (C) (D))"
E76.22,"Sanfilippo mucopolysaccharidoses (Sanfilippo A syndrome)"
E76.22,"Sanfilippo mucopolysaccharidoses (Sanfilippo B syndrome)"
E76.22,"Sanfilippo mucopolysaccharidoses (Sanfilippo C syndrome)"
E76.22,"Sanfilippo mucopolysaccharidoses (Sanfilippo D syndrome)"
E76.29,"Other mucopolysaccharidoses"
E76.29,"Other mucopolysaccharidoses (beta-Glucuronidase deficiency)"
E76.29,"Other mucopolysaccharidoses (Maroteaux-Lamy (mild) (severe) syndrome)"
E76.29,"Other mucopolysaccharidoses (Mucopolysaccharidosis, types VI, VII)"
E76.3,"Mucopolysaccharidosis, unspecified"
E76.8,"Other disorders of glucosaminoglycan metabolism"
E76.9,"Glucosaminoglycan metabolism disorder, unspecified"
E77,"Disorders of glycoprotein metabolism"
E77.0,"Defects in post-translational modification of lysosomal enzymes"
E77.0,"Defects in post-translational modification of lysosomal enzymes (Mucolipidosis II [I-cell disease])"
E77.0,"Defects in post-translational modification of lysosomal enzymes (Mucolipidosis III [pseudo-Hurler polydystrophy])"
E77.1,"Defects in glycoprotein degradation"
E77.1,"Defects in glycoprotein degradation (Aspartylglucosaminuria)"
E77.1,"Defects in glycoprotein degradation (Fucosidosis)"
E77.1,"Defects in glycoprotein degradation (Mannosidosis)"
E77.1,"Defects in glycoprotein degradation (Sialidosis [mucolipidosis I])"
E77.8,"Other disorders of glycoprotein metabolism"
E77.9,"Disorder of glycoprotein metabolism, unspecified"
E78,"Disorders of lipoprotein metabolism and other lipidemias"
E78.0,"Pure hypercholesterolemia"
E78.00,"Pure hypercholesterolemia, unspecified"
E78.00,"Pure hypercholesterolemia, unspecified (Fredrickson's hyperlipoproteinemia, type IIa)"
E78.00,"Pure hypercholesterolemia, unspecified (Hyperbetalipoproteinemia)"
E78.00,"Pure hypercholesterolemia, unspecified (Low-density-lipoprotein-type [LDL] hyperlipoproteinemia)"
E78.00,"Pure hypercholesterolemia, unspecified ((Pure) hypercholesterolemia NOS)"
E78.01,"Familial hypercholesterolemia"
E78.1,"Pure hyperglyceridemia"
E78.1,"Pure hyperglyceridemia (Elevated fasting triglycerides)"
E78.1,"Pure hyperglyceridemia (Endogenous hyperglyceridemia)"
E78.1,"Pure hyperglyceridemia (Fredrickson's hyperlipoproteinemia, type IV)"
E78.1,"Pure hyperglyceridemia (Hyperlipidemia, group B)"
E78.1,"Pure hyperglyceridemia (Hyperprebetalipoproteinemia)"
E78.1,"Pure hyperglyceridemia (Very-low-density-lipoprotein-type [VLDL] hyperlipoproteinemia)"
E78.2,"Mixed hyperlipidemia"
E78.2,"Mixed hyperlipidemia (Broad- or floating-betalipoproteinemia)"
E78.2,"Mixed hyperlipidemia (Combined hyperlipidemia NOS)"
E78.2,"Mixed hyperlipidemia (Elevated cholesterol with elevated triglycerides NEC)"
E78.2,"Mixed hyperlipidemia (Fredrickson's hyperlipoproteinemia, type IIb or III)"
E78.2,"Mixed hyperlipidemia (Hyperbetalipoproteinemia with prebetalipoproteinemia)"
E78.2,"Mixed hyperlipidemia (Hypercholesteremia with endogenous hyperglyceridemia)"
E78.2,"Mixed hyperlipidemia (Hyperlipidemia, group C)"
E78.2,"Mixed hyperlipidemia (Tubo-eruptive xanthoma)"
E78.2,"Mixed hyperlipidemia (Xanthoma tuberosum)"
E78.3,Hyperchylomicronemia
E78.3,"Hyperchylomicronemia (Chylomicron retention disease)"
E78.3,"Hyperchylomicronemia (Fredrickson's hyperlipoproteinemia, type I or V)"
E78.3,"Hyperchylomicronemia (Hyperlipidemia, group D)"
E78.3,"Hyperchylomicronemia (Mixed hyperglyceridemia)"
E78.4,"Other hyperlipidemia"
